ref,piece,max,min,geo_point_2d,surface,price_per_m2
25.1,4,30.12,17.57,"48.86465997810256, 2.3363089189653063",40.0,18.825000000000003
28.9,4,34.68,20.23,"48.867018590627694, 2.328581664931248",40.0,21.674999999999997
28.4,4,34.08,19.88,"48.868008337402706, 2.3446991274274604",40.0,21.299999999999997
26.0,4,31.2,18.2,"48.868008337402706, 2.3446991274274604",40.0,19.5
25.7,2,30.84,17.99,"48.8671501183107, 2.3500801904088187",20.0,38.55
28.9,4,34.68,20.23,"48.851585175021285, 2.3647679538731117",40.0,21.674999999999997
28.3,3,33.96,19.81,"48.86388739200144, 2.363123300986952",30.0,28.3
28.1,4,33.72,19.67,"48.84766363545046, 2.354093153377686",40.0,21.075
36.0,1,43.2,25.2,"48.852895586218004, 2.3527750121216795",10.0,108.0
33.7,1,40.44,23.59,"48.84168428795317, 2.3438609263160095",10.0,101.10000000000001
30.7,3,36.84,21.49,"48.85852137232379, 2.3516669671389687",30.0,30.699999999999996
31.3,2,37.56,21.91,"48.862557245043206, 2.354851518245669",20.0,46.949999999999996
28.6,3,34.32,20.02,"48.85035926154756, 2.3110309362657557",30.0,28.6
28.6,3,34.32,20.02,"48.84642759400415, 2.327356878234607",30.0,28.6
32.0,3,38.4,22.4,"48.85035926154756, 2.3110309362657557",30.0,32.0
29.8,3,35.76,20.86,"48.84642759400415, 2.327356878234607",30.0,29.8
37.0,1,44.4,25.9,"48.85438440363996, 2.340035371130514",10.0,111.0
33.2,2,39.84,23.24,"48.85526326937375, 2.3255876525808024",20.0,49.800000000000004
27.7,3,33.24,19.39,"48.847800629292664, 2.3363388275876775",30.0,27.7
25.9,4,31.08,18.13,"48.85528871996157, 2.3336568680904577",40.0,19.424999999999997
25.2,3,30.24,17.64,"48.847800629292664, 2.3363388275876775",30.0,25.2
31.8,1,38.16,22.26,"48.86740319007272, 2.3729648249267643",10.0,95.4
25.4,2,30.5,17.8,"48.862557245043206, 2.354851518245669",20.0,38.1
24.0,3,28.8,16.8,"48.87981191977869, 2.3448612910024424",30.0,24.0
27.0,2,32.4,18.9,"48.84691594405347, 2.374401626479208",20.0,40.5
24.3,3,29.2,17.0,"48.867018590627694, 2.328581664931248",30.0,24.3
28.0,1,33.6,19.6,"48.830359242366505, 2.428826815083849",10.0,84.0
26.0,3,31.2,18.2,"48.84691594405347, 2.374401626479208",30.0,26.0
28.7,1,34.44,20.09,"48.84691594405347, 2.374401626479208",10.0,86.10000000000001
32.0,1,38.4,22.4,"48.87814767585099, 2.3171746113048903",10.0,96.0
25.7,2,30.84,17.99,"48.8379956461218, 2.4331784419569793",20.0,38.55
25.3,2,30.36,17.71,"48.873934691758095, 2.343252579473346",20.0,37.95
30.3,1,36.36,21.21,"48.87361766097465, 2.352282894951218",10.0,90.9
28.3,2,33.96,19.81,"48.87993433878255, 2.3328501965554715",20.0,42.45
22.7,4,27.24,15.89,"48.87993433878255, 2.3328501965554715",40.0,17.025
28.6,3,34.32,20.02,"48.87814767585099, 2.3171746113048903",30.0,28.6
29.6,4,35.52,20.72,"48.867074492185395, 2.3086516846814",40.0,22.2
32.8,1,39.36,22.96,"48.83740588522813, 2.3633186351497177",10.0,98.39999999999999
22.5,3,27.0,15.75,"48.873934691758095, 2.343252579473346",30.0,22.5
29.8,3,35.76,20.86,"48.858514966137854, 2.3164447403399206",30.0,29.8
31.9,4,38.28,22.33,"48.858514966137854, 2.3164447403399206",40.0,23.925
36.0,1,43.2,25.2,"48.87126549302095, 2.320053028649194",10.0,108.0
24.5,3,29.4,17.15,"48.867074492185395, 2.3086516846814",30.0,24.5
25.0,2,30.0,17.5,"48.876008290020586, 2.36812301788768",20.0,37.5
30.1,2,36.12,21.07,"48.84642759400415, 2.327356878234607",20.0,45.150000000000006
25.0,2,30.0,17.5,"48.87124465089237, 2.3615036473450113",20.0,37.5
30.6,1,36.72,21.42,"48.88117755028415, 2.289963738115156",10.0,91.8
25.5,4,30.6,17.85,"48.850171655497846, 2.291852642697574",40.0,19.125
25.9,2,31.08,18.13,"48.8949426537908, 2.321118743705154",20.0,38.849999999999994
27.8,2,33.36,19.46,"48.83740588522813, 2.3633186351497177",20.0,41.7
21.7,4,26.04,15.19,"48.82312780567426, 2.352433149542824",40.0,16.275
31.1,1,37.32,21.77,"48.88504369140323, 2.302909824651906",10.0,93.30000000000001
34.6,1,41.5,24.2,"48.86910019977125, 2.3394607437483312",10.0,103.8
31.1,1,37.32,21.77,"48.84271125032415, 2.3107774536393966",10.0,93.30000000000001
26.4,4,31.68,18.48,"48.82312780567426, 2.352433149542824",40.0,19.799999999999997
25.7,3,30.84,17.99,"48.850171655497846, 2.291852642697574",30.0,25.7
31.5,1,37.8,22.05,"48.83373367612219, 2.3476730460658106",10.0,94.5
30.1,1,36.12,21.07,"48.85209650697998, 2.3887648336025635",10.0,90.30000000000001
26.0,2,31.2,18.2,"48.850171655497846, 2.291852642697574",20.0,39.0
27.2,1,32.64,19.04,"48.84691594405347, 2.374401626479208",10.0,81.6
28.0,4,33.6,19.6,"48.86910019977125, 2.3394607437483312",40.0,21.0
20.5,3,24.6,14.35,"48.89166759106752, 2.3459787545931863",30.0,20.5
18.5,4,22.2,12.95,"48.88766108880349, 2.3744682121256666",40.0,13.875
28.0,3,33.6,19.6,"48.86327454383974, 2.259935831704838",30.0,28.0
28.1,2,33.7,19.7,"48.88117755028415, 2.289963738115156",20.0,42.15
28.1,2,33.7,19.7,"48.83906040108164, 2.2780763469189345",20.0,42.15
35.1,1,42.1,24.6,"48.852895586218004, 2.3527750121216795",10.0,105.30000000000001
25.9,4,31.1,18.1,"48.84766363545046, 2.354093153377686",40.0,19.424999999999997
23.6,4,28.3,16.5,"48.8379956461218, 2.4331784419569793",40.0,17.700000000000003
22.8,4,27.4,16.0,"48.83740588522813, 2.3633186351497177",40.0,17.1
25.3,3,30.4,17.7,"48.89257777114592, 2.334363089913081",30.0,25.3
27.8,3,33.4,19.5,"48.874135575605415, 2.3041188097211407",30.0,27.8
25.8,3,31.0,18.1,"48.888481513920595, 2.313856169006357",30.0,25.8
25.3,2,30.4,17.7,"48.876008290020586, 2.36812301788768",20.0,37.95
23.7,1,28.4,16.6,"48.894012169582226, 2.3643867790293243",10.0,71.10000000000001
34.6,1,41.5,24.2,"48.862557245043206, 2.354851518245669",10.0,103.8
23.1,3,27.7,16.2,"48.823452771575106, 2.337070179863054",30.0,23.1
27.5,4,33.0,19.3,"48.86910019977125, 2.3394607437483312",40.0,20.625
24.3,3,29.2,17.0,"48.84194019337512, 2.356893889624744",30.0,24.3
27.8,3,33.4,19.5,"48.847800629292664, 2.3363388275876775",30.0,27.8
27.3,2,32.8,19.1,"48.84271125032415, 2.3107774536393966",20.0,40.95
22.8,4,27.4,16.0,"48.87863907572485, 2.380127281829295",40.0,17.1
26.1,1,31.32,18.27,"48.894012169582226, 2.3643867790293243",10.0,78.30000000000001
36.6,1,43.9,25.6,"48.851585175021285, 2.3647679538731117",10.0,109.80000000000001
23.3,4,28.0,16.3,"48.87981191977869, 2.3448612910024424",40.0,17.475
25.7,3,30.8,18.0,"48.8379956461218, 2.4331784419569793",30.0,25.7
